race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
202008010902,7,1,1,2017106673,牡3,54,01174,1:14.8,2.1/2,**,4-4,38.9,15.6,6,486(-4),,00422,966002
202008010902,8,2,2,2017102218,牡3,56,01124,1:15.4,4,**,11-10,38.5,257.1,11,436(0),,01003,830033
202008010902,9,4,4,2017102827,牝3,53,01168,1:15.5,1/2,**,8-8,39.0,103.2,9,490(0),,01033,841008
202008010902,10,3,3,2017106557,牡3,56,05531,1:16.1,3.1/2,**,4-4,40.1,22.4,7,490(-8),,01094,901007
202008010902,11,5,5,2017103024,牝3,54,01062,1:16.2,1/2,**,10-11,39.4,171.9,10,460(-8),,01095,431800
202008010903,1,7,9,2017100992,牡3,56,00732,1:55.0,,**,9-8-2-2,37.9,8.3,3,482(+4),,01072,306008
202008010903,2,6,6,2017104698,牡3,56,00666,1:55.1,1/2,**,6-6-2-2,38.2,2.0,1,458(-2),,01066,199031
202008010903,3,5,5,2017106032,牡3,54,01174,1:55.5,2.1/2,**,5-5-5-4,38.3,13.2,4,480(-6),,01117,224007
202008010903,4,7,8,2017109026,牡3,56,01126,1:55.9,2.1/2,**,1-1-1-1,39.0,2.6,2,502(-2),,01028,320030
202008010903,5,6,7,2017104940,牡3,56,01018,1:56.1,1.1/4,**,8-8-7-6,38.6,24.9,7,454(0),,01139,023007
202008010903,6,3,3,2017106088,牡3,55,01168,1:56.7,4,**,6-6-8-8,38.9,85.3,8,576(-6),,01129,523005
202008010903,7,1,1,2017106380,牡3,56,05525,1:57.2,3,**,10-11-10-9,38.8,14.3,5,484(+2),,01164,879800
202008010903,8,2,2,2017100964,牡3,56,00894,1:57.3,3/4,**,11-10-11-9,38.9,129.4,10,472(-2),,01155,895030
202008010903,9,8,10,2017106317,牡3,56,01163,1:57.6,1.1/2,**,3-3-2-4,40.6,19.0,6,472(0),,01099,523005
202008010903,10,8,11,2017102856,牡3,56,01147,1:58.0,2.1/2,**,2-2-5-7,40.8,102.2,9,472(0),,01146,170800
202008010903,11,4,4,2017104443,牡3,56,01156,2:00.1,大,**,3-3-9-11,42.1,224.3,11,456(0),,00425,051030
202008010904,1,2,3,2017105246,牡3,54,01174,1:24.6,,**,2-1,38.1,4.5,3,494(-2),,01055,866006
202008010904,2,4,7,2017103621,牡3,56,01126,1:25.0,2.1/2,**,7-6,37.2,9.3,6,462(0),,01157,909006
202008010904,3,3,5,2017100729,牝3,54,00666,1:25.6,3.1/2,**,5-3,38.5,4.2,2,474(0),,01072,730002
202008010904,4,6,10,2017104869,牡3,56,01124,1:25.9,2,**,10-9,37.6,40.8,8,494(0),,00422,872800
202008010904,5,8,14,2017101859,牡3,56,01116,1:26.5,4,**,6-6,39.1,11.7,7,462(-2),,01069,629002
202008010904,6,7,12,2017104517,牡3,56,01125,1:26.6,1/2,**,8-8,38.6,109.5,11,448(-2),,01149,911008
202008010904,7,1,1,2017104484,牡3,56,01014,1:27.1,3,**,1-2,40.6,4.0,1,486(+2),,01057,878005
202008010904,8,4,6,2017105465,牡3,56,01163,1:28.3,7,**,3-3,41.4,96.8,10,458(-6),,01022,431002
202008010904,9,7,13,2017100246,牡3,56,00732,1:28.4,1/2,**,3-3,41.5,7.9,5,478(+2),,01065,674004
202008010904,10,3,4,2017100916,牡3,56,01062,1:28.4,ハナ,**,15-14,38.4,395.7,15,454(0),,00431,571006
202008010904,11,5,8,2017106048,牡3,56,01019,1:28.5,クビ,**,10-9,40.3,6.3,4,504(-6),,01041,267033
202008010904,12,5,9,2017104160,牝3,54,05115,1:28.7,1.1/2,**,13-12,40.1,62.4,9,448(-12),,01050,546800
202008010904,13,8,15,2017102490,牡3,55,01168,1:28.9,3/4,**,10-13,40.5,302.3,14,438(-6),,01161,843800
202008010904,14,2,2,2017106355,牡3,56,05525,1:29.5,3.1/2,**,8-11,41.6,201.7,12,430(-4),,01087,829800
202008010904,15,6,11,2017102980,牝3,54,01018,1:31.6,大,**,14-15,41.6,267.5,13,440(-8),,01050,841030
202008010905,1,7,7,2017104721,牡3,56,05115,2:18.7,,**,3-2-3-3,37.5,4.6,3,472(-2),,01053,075803
